Town,Stadium,31/05/2002,,,,01/06/2002,,,,02/06/2002,,,,03/06/2002,,,,04/06/2002,,,,05/06/2002,,,,06/06/2002,,,,07/06/2002,,,,08/06/2002,,,,09/06/2002,,,,10/06/2002,,,,11/06/2002,,,,12/06/2002,,,,13/06/2002,,,,14/06/2002,,,,15/06/2002,,,,16/06/2002,,,,17/06/2002,,,,18/06/2002,,,,21/06/2002,,,,22/06/2002,,,,25/06/2002,,,,26/06/2002,,,,29/06/2002,,,,30/06/2002,,,
Seoul,Seoul World Cup Stadium,1,20:30:00,A1,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,15:30,C2,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,20:30,A,B,,,,,,,,,,,,
Ulsan,Big Crown Stadium,,,,,3,18:00,A3,A4,,,,,10,18:00,C1,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,20:30,1,2,,,,,,,,,,,,,,,,,,,,
Daegu,Daegu Blue-Arc Stadium,,,,,,,,,,,,,,,,,,,,,,,,,18,15:30,A4,A2,,,,,24,15:30,B2,B4,,,,,30,15:30,D1,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,20:00,L2,L1,,,,
Busan,Busan Asiad Main Stadium,,,,,,,,,6,16:30,B1,B2,,,,,14,20:30,D1,D2,,,,,20,20:30,A1,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incheon,Incheon Munhak Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,18:00,C4,C2,,,,,33,15:30,A4,A1,,,,,,,,,47,20:30,D4,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwon,Suwon World Cup Stadium,,,,,,,,,,,,,,,,,,,,,16,18:00,D3,D4,,,,,,,,,,,,,,,,,,,,,34,15:30,A2,A3,,,,,41,15:30,C4,C1,,,,,,,,,51,20:30,1B,2E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwangju,Gwangju World Cup Stadium,,,,,,,,,8,20:30,B3,B4,12,15:30,C3,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,15:30,3,4,,,,,,,,,,,,,,,,
Jeonju,Jeonju World Cup Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,18:00,B3,B1,,,,,,,,,32,20:30,D4,D2,,,,,,,,,,,,,,,,,,,,,,,,,50,15:30,1G,2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seogwipo,Jeju World Cup Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,20:30,C1,C3,,,,,,,,,,,,,40,20:30,B4,B1,,,,,,,,,49,15:30:00,1E,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daejeon,Daejeon World Cup Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,20:30,B2,B3,,,,,48,20:30,D2,D3,,,,,,,,,,,,,52,20:30:00,1D,2G,,,,,,,,,,,,,,,,,,,,,,,,
