Town,Stadium,09/06/06,,,,10/06/06,,,,11/06/06,,,,12/06/06,,,,13/06/06,,,,14/06/06,,,,15/06/06,,,,16/06/06,,,,17/06/06,,,,18/06/06,,,,19/06/06,,,,20/06/06,,,,21/06/06,,,,22/06/06,,,,23/06/06,,,,24/06/06,,,,25/06/06,,,,26/06/06,,,,27/06/06,,,,30/06/06,,,,01/07/06,,,,04/07/06,,,,05/07/06,,,,08/07/06,,,,09/07/06,,,
Berlin,Olympiastadion,,,,,,,,,,,,,,,,,14,21:00:00,F3,F4,,,,,20,21:00:00,B4,B2,,,,,,,,,,,,,,,,,33,16:00:00,A4,A1,,,,,,,,,46,16:00:00,H2,H3,,,,,,,,,,,,,,,,,57,17:00:00,1,2,,,,,,,,,,,,,,,,,64,20:00:00,W1,W2
Dortmund,Signal Iduna Park,,,,,4,18:00:00,B3,B4,,,,,,,,,,,,,17,21:00:00,A1,A3,,,,,,,,,,,,,,,,,30,15:00:00,G2,G4,,,,,,,,,43,21:00:00,F2,F3,,,,,,,,,,,,,,,,,55,17:00:00,1F,2E,,,,,,,,,61,21:00:00,A,B,,,,,,,,,,,,
Munich,Allianz Arena,1,18:00:00,A1,A2,,,,,,,,,,,,,,,,,16,18:00:00,H3,H4,,,,,,,,,,,,,28,18:00:00,F3,F1,,,,,,,,,40,21:00:00,C2,C3,,,,,,,,,49,17:00:00,1A,2B,,,,,,,,,,,,,,,,,,,,,,,,,62,21:00:00,C,D,,,,,,,,
Stuttgart,Gottlieb-Daimler-Stadion,,,,,,,,,,,,,,,,,13,18:00:00,G3,G4,,,,,,,,,22,18:00:00,C4,C2,,,,,,,,,32,21:00:00,H1,H3,,,,,,,,,44,21:00:00,F4,F1,,,,,,,,,53,17:00:00,1B,2A,,,,,,,,,,,,,,,,,,,,,,,,,63,21:00:00,L1,L2,,,,
Gelsenkirchen,Veltins-Arena,2,21:00:00,A3,A4,,,,,,,,,10,18:00:00,E1,E2,,,,,,,,,,,,,21,15:00:00,C1,C3,,,,,,,,,,,,,,,,,37,15:00:00,D4,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,17:00:00,5,6,,,,,,,,,,,,,,,,
Hamburg,AOL Arena,,,,,5,21:00:00,C1,C2,,,,,,,,,,,,,,,,,18,15:00:00,A4,A2,,,,,,,,,,,,,31,18:00:00,H4,H2,,,,,,,,,41,16:00:00,E2,E3,,,,,,,,,,,,,,,,,,,,,58,21:00:00,3,4,,,,,,,,,,,,,,,,,,,,
Frankfurt,Commerzbank-Arena,,,,,3,15:00:00,B1,B2,,,,,,,,,12,15:00:00,G1,G2,,,,,,,,,,,,,24,15:00:00,D4,D2,,,,,,,,,,,,,39,21:00:00,C4,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,21:00:00,7,8,,,,,,,,,,,,,,,,
Cologne,RheinEnergieStadion,,,,,,,,,8,21:00:00,D3,D4,,,,,,,,,,,,,,,,,,,,,25,18:00:00,E2,E4,,,,,,,,,35,21:00:00,B4,B1,,,,,,,,,47,21:00:00,G2,G3,,,,,,,,,52,21:00:00,1G,2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanover,AWD-Arena,,,,,,,,,,,,,11,21:00:00,E3,E4,,,,,,,,,,,,,23,21:00:00,D1,D3,,,,,,,,,,,,,34,16:00:00,A2,A3,,,,,,,,,48,21:00:00,G4,G1,,,,,,,,,,,,,56,21:00:00,1H,2G,,,,,,,,,,,,,,,,,,,,,,,,
Leipzig,Zentralstadion,,,,,,,,,6,15:00:00,C3,C4,,,,,,,,,15,15:00:00,H1,H2,,,,,,,,,,,,,29,21:00:00,G3,G1,,,,,,,,,38,16:00:00,D2,D3,,,,,,,,,50,21:00:00,1C,2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiserslautern,Fritz-Walter-Stadion,,,,,,,,,,,,,9,15:00:00,F1,F2,,,,,,,,,,,,,,,,,26,21:00:00,E3,E1,,,,,,,,,36,21:00:00,B2,B3,,,,,,,,,45,16:00:00,H4,H1,,,,,,,,,51,17:00:00,1E,2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuremburg,EasyCredit-Stadion,,,,,,,,,7,18:00:00,D1,D2,,,,,,,,,,,,,19,18:00:00,B1,B3,,,,,,,,,27,15:00:00,F4,F2,,,,,,,,,,,,,42,16:00:00,E4,E1,,,,,,,,,54,21:00:00,1D,2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
